Iterative Fibonacci Times

n                 time_taken

1                  0.000003
10                 0.000001
100                0.000003
1000               0.000018
10000              0.000174
100000             0.001740
1000000            0.006039
10000000           0.036655
100000000          0.303705
1000000000         2.666443
10000000000        26.303138
100000000000       272.370414
Slope time vs n  = 2.723633726930646e-09

_______________________________
Recursive Fibonacci Times

n     time_taken
0 	 0.000002
1 	 0.000001
2 	 0.000001
3 	 0.000001
4 	 0.000001
5 	 0.000002
6 	 0.000002
7 	 0.000003
8 	 0.000004
9 	 0.000005
10 	 0.000007
11 	 0.000012
12 	 0.000020
13 	 0.000033
14 	 0.000053
15 	 0.000078
16 	 0.000131
17 	 0.000212
18 	 0.000289
19 	 0.000463
20 	 0.000798
21 	 0.001307
22 	 0.002157
23 	 0.002988
24 	 0.004938
25 	 0.007712
26 	 0.010082
27 	 0.008243
28 	 0.009567
29 	 0.011964
30 	 0.019495
31 	 0.030203
32 	 0.048423
33 	 0.077954
34 	 0.130516
35 	 0.207375
36 	 0.337396
37 	 0.543693
38 	 0.907264
39 	 1.432554
40 	 2.387421
41 	 3.876226
42 	 6.230003
43 	 10.110691
44 	 16.508951
45 	 26.707121
46 	 41.325681
47 	 66.998922
48 	 114.855862
49 	 185.971244

Slope log_2(time) vs n = 0.20120309323859562

_______________________
Matrix Fibonacci Times 


1 	 0.000003
10 	 0.000011
100 	 0.000009
1000 	 0.000019
10000 	 0.000022
100000 	 0.000020
1000000 	 0.000062
10000000 	 0.000037
100000000 	 0.000037
1000000000 	 0.000046
10000000000 	 0.000043
100000000000 	 0.000053
1000000000000 	 0.000056
10000000000000 	 0.000069
100000000000000 	 0.000064
1000000000000000 	 0.000072
10000000000000000 	 0.000086
100000000000000000 	 0.000078
1000000000000000000 	 0.000094

Slope of time_taken vs log_2(n) = 4.628070175438596e-06


